"","TCGA-3X-AAV9-01","TCGA-3X-AAVA-01","TCGA-3X-AAVB-01","TCGA-3X-AAVC-01","TCGA-3X-AAVE-01","TCGA-4G-AAZO-01","TCGA-4G-AAZT-01","TCGA-W5-AA2G-01","TCGA-W5-AA2H-01","TCGA-W5-AA2I-01","TCGA-W5-AA2I-11","TCGA-W5-AA2O-01","TCGA-W5-AA2Q-01","TCGA-W5-AA2Q-11","TCGA-W5-AA2R-01","TCGA-W5-AA2R-11","TCGA-W5-AA2T-01","TCGA-W5-AA2U-01","TCGA-W5-AA2U-11","TCGA-W5-AA2W-01","TCGA-W5-AA2X-01","TCGA-W5-AA2X-11","TCGA-W5-AA2Z-01","TCGA-W5-AA30-01","TCGA-W5-AA30-11","TCGA-W5-AA31-01","TCGA-W5-AA31-11","TCGA-W5-AA33-01","TCGA-W5-AA34-01","TCGA-W5-AA34-11","TCGA-W5-AA36-01","TCGA-W5-AA38-01","TCGA-W5-AA39-01","TCGA-W6-AA0S-01","TCGA-WD-A7RX-01","TCGA-YR-A95A-01","TCGA-ZD-A8I3-01","TCGA-ZH-A8Y1-01","TCGA-ZH-A8Y2-01","TCGA-ZH-A8Y4-01","TCGA-ZH-A8Y5-01","TCGA-ZH-A8Y6-01","TCGA-ZH-A8Y8-01","TCGA-ZU-A8S4-01","TCGA-ZU-A8S4-11"
"hsa-miR-376c-3p",84,24,59,27,8,289,71,14,3,207,20,13,18,78,12,57,62,17,27,336,28,36,65,16,64,261,30,47,154,31,19,50,8,20,45,59,132,42,61,20,44,36,260,112,76
"hsa-miR-369-5p",39,2,45,6,3,76,29,11,3,37,9,4,1,27,6,17,20,12,6,63,19,26,26,7,23,86,2,32,29,13,4,14,5,9,7,40,40,22,21,6,19,2,111,26,29
"hsa-miR-369-3p",87,49,173,32,9,658,39,28,5,195,15,18,8,85,11,34,59,39,25,964,35,48,115,26,77,400,24,58,171,18,47,134,13,65,55,85,108,64,76,27,46,63,525,135,65
"hsa-miR-370-5p",22,9,35,5,5,26,16,10,4,23,8,4,1,21,7,16,12,10,9,57,11,16,10,0,34,46,15,23,11,8,8,15,3,2,1,28,15,6,23,10,9,13,35,15,18
"hsa-miR-370-3p",32,18,68,16,7,119,23,37,5,51,15,4,9,48,8,32,33,12,15,498,38,56,19,8,62,249,32,25,51,14,34,84,16,7,18,46,45,27,76,14,32,15,93,140,47
"hsa-miR-371a-5p",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-371a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-372-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-372-3p",0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3
"hsa-miR-373-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-373-3p",0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-374a-5p",424,106,169,84,71,130,141,62,124,330,27,39,39,235,98,162,346,82,110,51,65,126,167,137,173,109,98,99,210,55,109,158,50,88,147,147,111,123,154,75,40,111,397,98,211
"hsa-miR-374a-3p",6439,3370,4310,3612,4903,2546,7970,4164,5127,3152,2609,1059,2984,7047,3325,7351,7819,3159,4942,2016,3701,5665,3286,3665,7312,3870,4534,5001,4800,5102,5391,4461,2142,2052,4842,2725,4934,2841,10854,3684,2099,2959,4297,3765,6379
"hsa-miR-375",5195,1226,216045,139031,2775,66754,106933,7423,1477,70921,15041,2893,112912,14581,7092,30915,1085572,142649,34827,82279,53839,10584,13709,50782,85045,197757,22264,27312,4806,13681,712,19257,28692,3853,103393,8419,103163,233318,10106,4245,150184,1567387,51280,7454,41109
"hsa-miR-376a-5p",8,1,14,3,2,21,2,7,2,19,3,0,0,8,2,5,8,2,2,13,3,6,10,1,7,20,1,6,17,2,4,10,0,3,4,8,12,2,9,0,8,5,25,5,5
"hsa-miR-376a-3p",6,1,18,6,1,53,15,4,0,27,3,1,2,10,0,4,8,1,1,55,4,4,4,0,7,73,4,8,17,3,7,9,2,3,3,8,24,7,17,4,8,1,58,32,4
"hsa-miR-377-5p",27,1,27,7,0,25,5,5,0,12,5,1,3,5,3,3,4,1,8,36,11,8,13,2,13,31,1,12,6,0,4,4,1,5,3,6,12,18,9,2,5,4,27,16,6
"hsa-miR-377-3p",14,6,24,3,1,107,6,1,1,28,3,4,2,5,4,2,9,7,7,158,5,7,20,5,11,48,6,8,25,2,3,14,3,2,10,12,16,10,10,8,4,6,81,13,12
"hsa-miR-378a-5p",174,87,152,682,149,73,197,219,276,226,460,46,41,1370,153,1480,94,490,1023,75,82,903,102,116,726,186,1242,241,49,1096,51,139,240,95,257,145,100,129,223,173,73,853,170,161,1931
"hsa-miR-378a-3p",1332,595,717,2898,704,276,677,1312,828,1366,2430,344,198,8940,691,10233,502,1476,8503,671,322,5200,429,426,4581,1111,7234,847,367,6459,348,825,1223,653,1570,1132,440,530,1120,995,255,5786,1458,975,14470
"hsa-miR-379-5p",4765,1479,5078,2065,1110,11991,3738,2775,859,4387,1454,796,693,4870,1243,2975,4143,2025,2414,39271,2557,3971,4258,693,6059,20026,2668,4202,8646,1982,3004,5773,1215,1676,1525,5092,7209,2786,6350,2363,3458,1244,16171,9997,5349
"hsa-miR-379-3p",4,3,11,3,1,24,1,4,0,7,0,1,3,5,4,4,7,3,4,88,2,15,6,0,4,73,1,4,14,2,3,9,1,6,1,7,21,3,10,1,5,6,58,16,9
"hsa-miR-380-5p",8,3,12,1,1,5,2,0,2,9,0,1,0,5,0,1,3,3,3,12,4,7,2,0,5,22,2,2,4,0,0,1,1,0,2,5,2,2,4,1,4,2,23,4,9
"hsa-miR-380-3p",4,0,3,0,0,1,1,0,0,3,0,1,0,2,0,2,2,0,0,7,2,0,2,0,0,24,1,2,1,0,1,2,0,0,3,2,1,1,4,1,0,0,8,7,4
"hsa-miR-381-5p",4,0,5,3,0,12,2,0,0,1,0,1,0,0,0,1,2,0,0,9,1,0,3,2,4,11,1,1,4,0,2,4,1,0,1,0,9,2,1,2,3,0,3,2,2
"hsa-miR-381-3p",453,239,513,274,92,2649,264,177,62,906,109,122,66,465,126,250,494,241,244,5018,182,343,450,80,335,1412,197,276,639,164,268,932,90,212,199,635,838,309,685,206,321,211,1768,1096,519
"hsa-miR-382-5p",116,24,147,57,40,320,84,70,19,209,13,19,27,140,29,47,149,68,40,1248,52,72,113,22,105,583,43,83,140,29,61,164,29,29,32,178,176,85,183,73,74,45,455,340,135
"hsa-miR-382-3p",35,6,38,10,6,50,25,8,1,49,2,5,3,15,4,8,16,13,3,136,9,17,18,2,9,63,6,11,14,3,14,15,2,8,11,32,14,12,21,7,4,6,83,34,18
"hsa-miR-383-5p",0,3,14,1,2,1,4,4,10,13,11,5,0,23,3,40,1,4,19,0,6,24,5,2,36,9,21,6,0,19,1,0,1,0,5,22,0,0,2,17,1,1,5,0,63
"hsa-miR-383-3p",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-340-5p",152,77,70,27,27,32,61,21,41,196,36,27,29,152,34,125,227,48,75,60,18,90,78,48,95,54,83,34,91,70,35,76,51,45,102,56,31,66,60,49,36,42,197,39,168
"hsa-miR-340-3p",33,52,42,21,36,16,49,37,23,43,25,20,32,49,38,95,101,37,75,21,11,77,59,50,74,30,49,15,41,84,31,32,59,38,57,32,28,63,55,25,29,24,47,30,95
"hsa-miR-330-5p",179,19,104,147,81,88,58,30,128,92,5,30,55,27,48,24,223,148,14,84,56,41,46,83,34,48,14,66,23,8,70,71,60,113,49,85,72,122,96,50,131,89,104,77,33
"hsa-miR-330-3p",16,5,12,9,6,14,10,4,19,12,1,2,8,11,4,5,45,17,5,5,9,6,6,7,6,7,1,12,5,2,14,8,4,4,11,12,9,14,11,8,8,13,17,6,12
"hsa-miR-328-5p",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-328-3p",52,96,129,335,147,89,173,136,174,63,92,36,161,200,127,316,368,100,150,130,67,188,73,103,282,71,180,78,50,296,103,73,104,83,78,73,145,75,293,81,123,45,84,78,337
"hsa-miR-342-5p",27,20,17,9,39,18,21,20,181,47,13,7,18,40,47,30,23,24,25,26,13,30,10,18,27,13,18,39,13,22,8,26,13,15,46,29,18,21,21,17,20,9,38,35,33
"hsa-miR-342-3p",2009,418,723,167,506,522,514,177,2567,1146,111,132,183,489,624,334,274,349,228,353,121,368,773,573,489,224,164,502,148,167,124,284,181,380,952,323,304,421,189,184,206,228,1161,401,472
"hsa-miR-337-5p",2,1,0,0,0,0,2,0,1,2,0,0,0,2,0,0,0,0,1,5,1,1,0,0,2,5,0,1,1,0,1,0,1,1,0,1,0,0,1,2,0,0,0,0,1
"hsa-miR-337-3p",165,110,354,81,66,335,201,151,30,279,91,56,57,245,68,157,139,126,122,269,101,263,245,101,394,650,140,210,180,123,111,93,84,46,138,253,234,116,280,41,203,91,443,249,299
"hsa-miR-323a-5p",0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0
"hsa-miR-323a-3p",28,5,42,29,5,215,7,15,0,28,8,8,2,20,4,19,35,9,6,173,13,16,26,4,18,340,11,19,87,4,37,56,8,14,10,29,72,38,106,13,20,9,142,81,21
"hsa-miR-326",13,4,15,25,13,5,10,8,17,14,13,4,13,18,11,18,17,60,10,3,25,21,3,7,31,15,11,7,9,10,3,20,9,3,5,9,4,13,16,8,11,1,7,18,16
"hsa-miR-151a-5p",233,662,466,962,358,323,519,328,170,594,191,160,444,574,334,497,1888,546,450,477,506,467,435,554,632,633,351,211,423,319,543,435,214,329,407,412,357,759,819,428,1015,402,787,415,603
"hsa-miR-151a-3p",5781,6557,6225,16062,5250,4675,8756,5145,3221,9943,2177,1706,4616,7732,4600,5919,26174,9221,4197,9084,9861,5850,4045,4699,6155,7593,4127,4669,4877,3946,7370,6052,3425,3763,3617,9129,5111,14290,9160,6651,17256,5988,11556,6542,9722
"hsa-miR-135b-5p",212,8,183,409,7,173,216,14,7,68,1,2,27,12,5,0,1185,418,5,53,725,17,255,327,17,125,1,108,65,2,2,3,5,74,119,9,448,752,115,352,483,1,1515,127,11
"hsa-miR-135b-3p",5,0,7,3,0,1,0,0,0,4,0,0,0,0,0,0,12,3,0,2,11,1,2,5,0,5,0,1,0,0,0,0,0,1,2,0,2,10,0,3,7,0,32,2,0
"hsa-miR-148b-5p",8,8,8,7,7,11,14,4,7,18,5,2,6,5,2,6,17,4,11,7,15,4,6,12,9,7,2,8,3,6,6,7,3,2,9,8,7,12,18,8,12,13,25,6,8
"hsa-miR-148b-3p",440,379,421,1048,928,639,920,265,467,1273,215,147,382,735,481,623,1805,1001,428,1054,328,670,430,435,630,612,441,394,570,368,845,1339,889,275,478,1096,471,763,2313,1133,729,886,940,542,933
"hsa-miR-331-5p",15,19,8,12,19,16,16,15,10,64,4,8,9,7,11,6,87,22,5,40,5,7,19,19,9,42,5,11,34,5,11,32,5,14,5,27,37,30,16,26,25,9,66,13,14
"hsa-miR-331-3p",30,75,73,85,199,87,126,70,36,202,28,54,75,60,58,81,506,76,35,99,35,92,82,135,86,136,60,101,95,83,105,175,91,56,61,120,115,128,108,113,100,93,101,84,74
"hsa-miR-324-5p",55,64,110,110,87,74,159,46,83,163,29,41,75,50,58,54,212,111,38,77,111,64,94,151,105,58,54,93,57,62,144,97,92,40,80,130,94,165,171,58,187,44,106,85,83
"hsa-miR-324-3p",35,24,29,84,31,18,48,32,36,94,18,10,31,55,35,47,152,67,29,67,86,44,17,39,62,31,47,22,28,49,40,41,62,18,29,81,33,70,85,32,74,16,47,45,108
"hsa-miR-338-5p",10,2,44,34,27,80,81,0,34,60,7,18,88,17,25,9,22,23,10,222,48,30,8,29,41,21,17,10,22,6,37,100,4,8,7,15,48,81,82,63,36,36,106,19,28
"hsa-miR-338-3p",2299,1059,4789,4056,2798,10771,13224,531,2176,9861,1205,1829,10179,1833,3227,1250,1562,1882,1392,17520,5466,2769,956,3512,3832,1602,1924,1547,1657,982,3293,9432,697,751,1324,1144,6577,10900,9308,6774,4711,4365,15868,2566,2374
"hsa-miR-339-5p",142,140,217,143,94,187,214,51,141,277,28,65,162,58,109,90,169,101,59,173,117,74,134,112,96,66,41,59,46,37,58,98,43,137,165,78,83,123,107,122,295,50,145,61,110
"hsa-miR-339-3p",24,30,14,32,20,33,61,14,30,56,5,4,38,15,19,13,58,41,12,44,24,14,9,19,11,12,11,13,20,12,21,33,13,24,28,19,20,22,36,30,67,11,36,12,14
"hsa-miR-335-5p",294,43,77,27,22,56,95,17,21,154,7,18,75,81,38,48,103,34,34,57,42,34,84,69,76,73,26,50,51,15,20,21,8,38,103,65,56,71,57,16,62,39,81,13,86
"hsa-miR-335-3p",1937,417,485,780,235,307,385,344,90,1875,131,218,533,607,364,315,1063,683,275,1225,482,313,495,892,520,1392,157,452,339,217,288,222,95,362,1293,500,383,876,541,402,924,381,814,115,476
"hsa-miR-133b",5,1,0,1,5,2,5,2,1,1,0,1,4,3,3,2,2,5,2,1,0,5,4,3,12,3,2,2,1,6,0,2,0,2,0,1,6,12,2,2,5,4,7,0,2
"hsa-miR-325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-345-5p",14,23,47,61,30,59,52,20,44,47,19,4,28,51,22,74,69,25,52,54,114,60,12,36,66,34,26,36,31,35,27,70,35,12,30,35,70,146,47,17,43,6,24,37,89
"hsa-miR-345-3p",0,0,0,0,0,0,6,0,1,0,0,0,1,1,2,0,2,1,0,3,1,1,0,1,0,1,0,1,0,0,1,3,2,0,0,0,2,0,1,0,0,0,0,2,0
"hsa-miR-346",1,9,2,0,1,5,7,11,0,4,1,1,1,0,0,0,12,11,0,1,0,0,1,1,3,1,5,1,2,0,19,6,2,3,3,1,5,3,6,4,6,33,6,1,0
"hsa-miR-384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-196b-5p",266,10,171,2758,946,23,37,17,225,860,9,24,340,33,178,26,9672,31,28,53,1754,21,209,1156,52,43,17,104,13,16,8,702,9,9,640,12,27,15,1384,873,29,10,89,33,25
"hsa-miR-196b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-422a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-423-5p",242,188,205,117,124,177,265,85,175,579,35,117,83,102,114,74,488,206,58,163,138,83,148,188,78,95,56,113,204,52,105,78,59,183,305,175,192,179,154,173,196,217,306,77,121
"hsa-miR-423-3p",220,578,649,496,403,398,499,434,282,1774,157,353,238,446,279,404,1388,564,214,544,632,351,353,469,378,350,245,252,620,207,383,310,252,540,581,493,707,526,830,604,394,502,804,447,671
"hsa-miR-424-5p",551,383,709,330,290,657,2138,765,237,2092,715,247,215,1793,430,1119,643,483,1599,399,547,3640,471,580,2678,793,1000,818,353,959,1050,349,254,194,1269,961,574,210,786,458,283,434,322,409,2425
"hsa-miR-424-3p",12,5,18,6,4,8,22,9,1,32,6,1,1,28,6,18,16,7,14,3,6,35,9,4,42,18,14,14,5,11,13,6,4,6,9,18,18,2,12,11,2,11,8,5,45
"hsa-miR-425-5p",852,246,867,1088,262,609,395,178,469,1133,139,157,189,634,202,278,577,591,219,317,844,443,280,403,436,406,298,648,254,252,160,279,161,396,459,293,318,511,304,263,669,374,1200,393,588
"hsa-miR-425-3p",25,14,36,59,22,13,30,16,28,37,10,8,26,37,18,33,38,20,13,21,27,21,21,27,21,16,18,13,17,11,11,19,25,11,8,23,17,34,36,17,32,13,32,30,45
"hsa-miR-18b-5p",0,1,0,41,0,1,0,0,1,1,0,0,0,2,1,0,1,3,0,3,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,2,4,0,0,0,1,2,0,0
"hsa-miR-18b-3p",0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"hsa-miR-20b-5p",54,69,38,2633,45,45,38,24,119,72,15,19,16,54,10,31,8,137,37,355,162,61,92,135,38,48,16,30,43,38,5,62,26,14,45,35,76,66,14,105,4,129,133,22,69
"hsa-miR-20b-3p",3,4,2,211,2,2,2,0,10,4,0,0,1,4,3,2,2,10,2,25,18,7,2,5,3,3,1,1,1,0,2,1,7,0,4,1,13,4,1,5,0,7,0,1,7
"hsa-miR-448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-429",297,473,2605,2706,747,432,858,413,14,1586,60,164,482,73,151,69,3029,395,47,223,1802,156,250,445,73,523,55,266,441,91,242,379,261,379,376,287,266,1149,398,137,983,823,514,319,149
"hsa-miR-449a",0,1,0,1,0,4,0,1,0,3,0,1,0,0,0,0,61,0,0,1,0,0,2,0,2,4,0,2,0,0,0,3,0,1,1,0,1,1,1,1,1,0,3,0,0
"hsa-miR-450a-5p",98,33,86,29,29,83,134,32,22,170,30,9,17,64,35,51,38,43,46,42,31,76,37,55,92,43,59,84,25,38,51,18,21,17,58,89,67,35,54,45,19,35,34,31,116
"hsa-miR-450a-1-3p",1,1,3,1,0,0,1,2,0,4,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0
"hsa-miR-431-5p",15,1,10,12,2,27,7,9,4,13,0,5,1,8,6,1,6,5,1,127,11,3,5,0,7,309,2,4,11,0,8,65,1,1,3,29,12,7,7,3,13,8,113,19,8
"hsa-miR-431-3p",126,19,137,14,3,155,31,30,6,43,10,5,5,38,7,11,27,8,8,251,21,24,32,8,31,237,13,22,54,10,22,72,17,4,16,40,46,43,82,14,38,22,152,66,19
"hsa-miR-433-5p",0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"hsa-miR-433-3p",12,4,22,2,2,12,6,8,4,14,4,2,0,8,2,13,5,8,7,38,5,7,6,2,8,50,7,3,19,1,3,12,3,1,10,18,7,5,7,2,4,3,23,12,13
"hsa-miR-329-5p",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-329-3p",12,6,9,2,3,24,1,1,1,12,1,1,1,4,1,1,7,2,6,13,3,5,3,2,6,30,2,7,9,2,5,6,1,5,2,5,12,4,8,2,2,4,26,13,7
"hsa-miR-451a",214,805,535,1733,235,327,3008,1239,317,506,799,272,1276,6086,243,2671,758,2406,4831,301,839,3841,556,379,3994,986,2736,13409,85,2387,214,415,617,1514,956,1631,254,1677,346,511,554,4049,2807,228,3988
"hsa-miR-452-5p",440,643,348,992,922,102,148,111,112,586,54,81,397,268,292,616,1778,455,97,180,806,349,351,173,109,486,184,268,531,159,505,554,683,379,195,141,130,345,1075,320,237,461,695,331,397
"hsa-miR-452-3p",8,27,13,53,34,8,5,2,6,10,4,4,14,3,14,17,77,21,2,5,41,8,16,11,4,18,2,17,32,11,20,12,30,25,18,9,5,16,32,10,8,12,25,7,11
"hsa-miR-409-5p",32,29,49,25,7,117,63,21,10,97,11,12,13,24,19,14,65,29,8,166,12,20,63,17,34,186,7,51,58,9,20,42,10,16,43,54,69,39,45,16,57,57,161,68,11
"hsa-miR-409-3p",146,49,140,84,33,143,63,92,15,192,17,28,11,109,36,59,105,55,38,549,47,70,112,23,108,690,49,69,163,38,108,163,30,53,43,172,141,84,185,54,107,54,462,249,96
"hsa-miR-412-5p",87,12,9,46,11,62,30,25,10,76,9,1,6,37,10,17,4,17,12,116,0,4,53,1,6,191,21,46,8,1,13,13,16,17,12,4,41,9,38,25,34,25,124,71,36
"hsa-miR-412-3p",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0
"hsa-miR-410-5p",0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,2,0,0,2,1,0,0,0,1,2,0,1,1,0,0,1,0,0,0,0,2,0,2,0,0,0,3,1,1
"hsa-miR-410-3p",186,52,181,90,21,285,66,47,18,360,18,24,16,116,19,41,142,71,28,1338,66,66,89,20,113,973,33,89,263,35,75,207,40,42,46,226,163,166,173,73,78,54,809,141,111
"hsa-miR-376b-5p",1,3,0,3,0,10,9,1,0,6,3,1,3,2,2,3,6,0,0,16,4,3,4,4,4,19,3,8,9,1,5,7,1,2,1,1,11,2,8,1,5,2,5,7,10
"hsa-miR-376b-3p",26,14,16,2,0,38,12,6,2,40,4,1,1,11,3,4,7,7,3,66,6,14,8,1,8,52,9,10,14,3,8,11,3,2,8,14,19,16,11,5,6,4,44,26,6
"hsa-miR-483-5p",7,6,2,1,1,34,2,83,1,178,89,10,2,162,3,359,81,15,197,2,9,170,8,4,231,42,149,18,27,139,11,1,49,17,55,22,84,8,1,4,4,2,152,22,447
"hsa-miR-483-3p",7,2,3,5,2,27,1,138,4,49,67,10,3,156,2,564,87,24,266,0,16,247,10,0,468,34,125,17,12,132,5,3,63,6,31,15,81,14,1,6,7,0,37,15,493
"hsa-miR-484",158,150,191,467,185,306,455,157,178,497,117,103,332,217,190,225,304,407,106,597,181,285,140,212,226,214,183,246,298,138,291,312,198,103,160,506,341,1039,395,251,378,213,198,217,382
"hsa-miR-485-5p",5,0,3,0,0,7,0,0,0,3,0,1,0,0,0,0,1,0,1,3,0,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,2,1,11,0,1
"hsa-miR-485-3p",29,12,46,15,4,293,13,13,1,41,6,8,5,19,12,6,49,14,5,284,14,19,36,9,38,224,8,18,85,6,13,35,10,11,7,31,66,26,61,14,36,10,191,113,19
"hsa-miR-486-5p",143,157,196,441,81,109,787,361,159,109,171,163,111,1012,57,962,156,312,1059,104,194,1048,143,76,997,286,824,1716,6,817,90,103,161,389,156,376,64,205,105,117,144,1700,613,192,1187
"hsa-miR-486-3p",0,1,0,2,0,1,3,1,4,0,0,0,1,3,0,2,0,1,1,0,0,3,0,0,1,0,2,4,0,2,0,1,1,0,3,2,1,0,2,1,1,0,0,8,1
"hsa-miR-487a-5p",2,6,7,3,6,17,6,1,2,9,1,2,1,5,1,2,4,3,1,27,2,8,1,1,7,12,2,0,5,2,5,8,0,1,2,6,6,2,7,4,3,2,10,6,3
"hsa-miR-487a-3p",8,0,5,0,0,20,4,4,1,12,0,5,1,4,2,1,4,1,0,30,1,3,4,0,1,11,0,2,0,3,4,4,1,0,3,5,8,7,3,2,3,2,22,7,1
"hsa-miR-488-5p",1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"hsa-miR-488-3p",2,0,1,1,0,2,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"hsa-miR-489-5p",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-489-3p",1,0,5,13,0,1,3,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,1,1,0,0,0,0,3,0,3,2,0,0,0,2,1,1,1,0
"hsa-miR-490-5p",0,0,0,0,0,0,3,1,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"hsa-miR-490-3p",1,1,1,2,2,0,0,10,0,2,17,0,0,89,0,19,0,0,8,0,9,57,1,0,41,1,24,4,0,19,0,0,1,0,4,12,0,0,1,2,0,0,4,0,61
"hsa-miR-491-5p",0,2,8,2,1,7,4,4,2,1,1,2,3,2,2,3,12,13,4,3,8,4,1,3,5,3,2,3,5,0,9,5,3,0,2,8,4,9,0,6,6,11,6,5,3
"hsa-miR-491-3p",0,2,2,0,0,4,0,8,1,2,3,2,1,1,1,2,4,2,0,1,5,3,1,3,2,3,2,0,1,3,1,2,4,2,1,3,0,5,1,2,3,4,2,1,4
"hsa-miR-511-5p",68,18,50,42,11,5,13,45,41,18,40,1,14,92,39,67,7,39,53,6,4,94,14,25,76,23,54,24,9,73,12,4,15,19,40,19,18,10,13,5,11,12,24,58,101
"hsa-miR-511-3p",11,3,9,0,1,0,4,5,2,0,1,0,1,4,2,4,1,2,2,0,2,3,0,3,2,1,3,3,2,2,0,2,1,2,8,3,2,1,0,0,1,0,7,3,8
"hsa-miR-146b-5p",6904,1785,5583,1084,2419,797,2572,1913,4600,7206,966,1459,776,6696,2332,6299,891,1970,2471,1791,1233,4159,2382,1783,7991,1501,2825,1957,1118,1850,570,1572,321,2713,4443,2357,1132,1354,896,1286,583,2604,14188,3022,3676
"hsa-miR-146b-3p",596,150,596,230,326,92,348,368,627,501,190,196,115,1040,344,4101,134,305,340,194,167,923,211,192,1524,236,589,420,141,413,112,211,43,270,476,369,243,236,151,168,92,377,646,484,1308
"hsa-miR-202-5p",7,1,8,1,1,0,2,0,12,0,1,0,1,0,11,5,0,3,0,0,0,1,0,8,4,0,0,4,0,0,0,2,2,0,1,1,0,0,0,2,0,0,5,1,6
"hsa-miR-202-3p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"hsa-miR-492",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-493-5p",84,31,118,31,13,196,45,32,3,156,7,17,4,62,15,29,27,31,12,428,32,32,86,25,68,343,20,48,79,15,30,51,19,20,32,80,66,28,88,21,38,23,284,103,40
